# Name,repo-uri,branch,rev
bitbake,git://github.com/openembedded/bitbake.git,master,adc041fd9e3def29cdf9c1ae4849c5383bac46e5
meta-angstrom,git://git.angstrom-distribution.org/meta-angstrom,master,c3391d1502a575b1a4c7c4d8e8649d43e4f2c903
meta-openembedded,git://github.com/openembedded/meta-oe.git,master,83281ff6b918b05f0d12d11a0a031db30f7fb1a5
meta-ti,git://git.angstrom-distribution.org/meta-texasinstruments,master,263dac0f942f43b1afe55817f5f12e069f86f957
meta-ettus,git://github.com/balister/meta-ettus.git,master,4023756a3f397c780a856039089ff24020a1c67c
meta-efikamx,git://github.com/kraj/meta-efikamx.git,master,2ef47fdd4e8232d766c0c63d9427253ee56e31d0
meta-nslu2,git://github.com/kraj/meta-nslu2.git,master,1e826abda46fd42e832ace8066d228d420d38caf
meta-smartphone,http://git.shr-project.org/repo/meta-smartphone.git,master,0fea2f3060a398b171cbbdb8f25c2e324471f77e
meta-intel,git://git.yoctoproject.org/meta-intel,master,188881dbcac925021729109a4e5d969874ecb717
meta-xilinx,git://git.yoctoproject.org/meta-xilinx,master,2a393f17f55e3019881c82bffb0b0b033a9dd6f8
meta-openpandora,git://github.com/openpandora/meta-openpandora.git,master,b3fe3a19adc24f80f4ade09bf5542a94cba9b817
meta-handheld,git://git.openembedded.org/meta-handheld,master,01f3e2c1be8f7e8a3b5c417a4e1a48c79dbf69dd
meta-opie,git://github.com/bluelightning/meta-opie.git,master,1f2f03c6c269ab336a6b8c908bcca8bc88194703
meta-java,git://github.com/woglinde/meta-java.git,master,e2cb8c6fe2942061283c766a9ed2cfac22be3c43
meta-mozilla,git://github.com/OSSystems/meta-mozilla.git,master,c9ce6352591b28fe0b130cb1e289330ee030dafa
openembedded-core,git://github.com/openembedded/oe-core.git,master,e5ad03093dfc4364d1407183f458df79f347c7a1
meta-kosagi,git://github.com/sutajiokousagi/meta-kosagi.git,master,HEAD
